timestamp,open,high,low,close,volume
2018-10-31T00:31:00.000Z,6278.5,6279.0,6278.5,6278.5,85286
2018-10-31T00:32:00.000Z,6278.5,6279.0,6278.5,6278.5,153512
2018-10-31T00:33:00.000Z,6278.5,6279.0,6278.5,6279.0,15763
2018-10-31T00:34:00.000Z,6279.0,6279.0,6278.5,6278.5,365214
2018-10-31T00:35:00.000Z,6278.5,6279.0,6278.5,6279.0,153937
2018-10-31T00:36:00.000Z,6279.0,6279.0,6278.5,6278.5,1049550
2018-10-31T00:37:00.000Z,6278.5,6279.0,6278.5,6279.0,174762
2018-10-31T00:38:00.000Z,6279.0,6279.0,6278.5,6279.0,144456
2018-10-31T00:39:00.000Z,6279.0,6279.0,6279.0,6279.0,68827
2018-10-31T00:40:00.000Z,6279.0,6279.0,6278.5,6279.0,88763
2018-10-31T00:41:00.000Z,6279.0,6279.0,6278.5,6278.5,51271
2018-10-31T00:42:00.000Z,6278.5,6279.0,6278.5,6279.0,33207
2018-10-31T00:43:00.000Z,6279.0,6279.0,6279.0,6279.0,304
2018-10-31T00:44:00.000Z,6279.0,6279.0,6278.5,6279.0,112570
2018-10-31T00:45:00.000Z,6279.0,6279.0,6278.5,6278.5,200764
2018-10-31T00:46:00.000Z,6278.5,6279.0,6278.5,6279.0,79813
2018-10-31T00:47:00.000Z,6279.0,6279.0,6278.5,6279.0,46838
2018-10-31T00:48:00.000Z,6279.0,6279.0,6278.5,6279.0,7690
2018-10-31T00:49:00.000Z,6279.0,6279.0,6278.5,6279.0,52590
2018-10-31T00:50:00.000Z,6279.0,6279.0,6278.5,6279.0,41578
2018-10-31T00:51:00.000Z,6279.0,6279.0,6278.5,6279.0,67246
2018-10-31T00:52:00.000Z,6279.0,6279.0,6278.5,6279.0,63984
2018-10-31T00:53:00.000Z,6279.0,6279.0,6278.5,6279.0,411756
2018-10-31T00:54:00.000Z,6279.0,6279.0,6278.5,6278.5,1107320
2018-10-31T00:55:00.000Z,6278.5,6279.0,6278.5,6278.5,67986
2018-10-31T00:56:00.000Z,6278.5,6279.0,6278.5,6278.5,94717
2018-10-31T00:57:00.000Z,6278.5,6279.0,6278.0,6278.0,793340
2018-10-31T00:58:00.000Z,6278.0,6278.5,6278.0,6278.0,338894
2018-10-31T00:59:00.000Z,6278.0,6278.5,6278.0,6278.5,81837
2018-10-31T01:00:00.000Z,6278.5,6278.0,6277.5,6277.5,503287
2018-10-31T01:01:00.000Z,6277.5,6278.0,6277.5,6277.5,27334
2018-10-31T01:02:00.000Z,6277.5,6278.0,6277.5,6277.5,42409
2018-10-31T01:03:00.000Z,6277.5,6278.0,6277.5,6278.0,25085
2018-10-31T01:04:00.000Z,6278.0,6278.0,6277.5,6277.5,35531
2018-10-31T01:05:00.000Z,6277.5,6278.0,6277.5,6278.0,5278
2018-10-31T01:06:00.000Z,6278.0,6278.0,6277.5,6277.5,177449
2018-10-31T01:07:00.000Z,6277.5,6278.0,6277.5,6277.5,58555
2018-10-31T01:08:00.000Z,6277.5,6278.0,6277.5,6278.0,84619
2018-10-31T01:09:00.000Z,6278.0,6277.5,6277.5,6277.5,9148
2018-10-31T01:10:00.000Z,6277.5,6278.0,6277.5,6278.0,42248
2018-10-31T01:11:00.000Z,6278.0,6278.0,6277.5,6277.5,36568
2018-10-31T01:12:00.000Z,6277.5,6278.0,6277.5,6278.0,262306
